ティッカー,銘柄（英語）,事業内容,市場
SJM,The JM SmuckerJM スマッカー,食品製造販売,NYSE
SKX,Skechers USA AスケッチャーズUSA A,若者向けの靴製造・販売メーカー,NYSE
SKY,Skyline Champion Corporationスカイライン チャンピオン,独立系上場住宅会社。,NYSE
SLAB,Silicon Laboratoriesシリコン ラボラトリーズ,アナログ系混合シグナル IC（集積回路）メーカー,NASDAQ
SLB,Schlumbergerシュルンベルジェ,石油サービス会社。世界の石油企業に対して、技術やプロジェクト管理、情報サービスを提供,NYSE
SLCA,US Silica HoldingsUSシリカ ホールディングス,工業用シリカと砂プロパントの生産会社,NYSE
SLF,Sun Life Financialサン ライフ ファイナンシャル,カナダの国際的な金融サービス会社,NYSE
SLGG,Super League Gaming Incスーパー リーグ ゲーミング,eスポーツコミュニティとコンテンツプラットフォームを運営している会社。,NASDAQ
SLM,SLM CorpSLM,教育ローン・サービス会社,NASDAQ
SMAR,Smartsheet Aスマートシート A,インターネットソフトウェアソリューションを開発する会社。業務執行と管理のため、クラウドベースのプラットフォームを提供している。,NYSE
SMG,Scotts Miracle Groスコッツ ミラクルグロー,米国の園芸用品メーカー。,NYSE
SMMF,Summit Financial Group Incサミット ファイナンシャル グループ,子会社を通じて米国のバージニア州、ウェストバージニア州の顧客に幅広い銀行サービスを提供している銀行持株会社。,NASDAQ
SMTC,Semtech Corporationセムテック,アナログ、ミックスド・シグナル半導体メーカー。,NASDAQ
SMTX,SMTC CorporationSMTC,米国の電子機器受託製造サービスのプロバイダ。,NASDAQ
SNA,Snap-onスナップ-オン,工具、機器関連のソリューション会社,NYSE
SNAP,Snap Aスナップ A,カメラ関連製品、携帯電話用アプリケーションの開発と販売をしている会社,NYSE
SNBR,Sleep Numberスリープ ナンバー,エアーベッド・マットレスのメーカー,NASDAQ
SND,Smart Sand Incスマート サンド,北米でプロパント（砂粒上の物質）製品、物流サービスを提供している会社。,NASDAQ
SNDX,Syndax Pharmaceuticals Incシンダックス ファーマシューティカルズ,バイオ医薬品企業。腫瘍、肺がん、乳がん、血液がんに対する治療を提供する。,NASDAQ
SNOA,Sonoma Pharmaceuticalsソノマ ファーマシューティカルズ,感染症を防ぐ医薬品を製造する医療品メーカー,NASDAQ
SNPS,Synopsysシノプシス,電子設計自動化ソリューション提供会社,NASDAQ
SNSS,Sunesis Pharmaceuticalsサネシス ファーマシューティカルズ,バイオ医薬品会社。,NASDAQ
SNV,Synovus Financialシノーバス ファイナンシャル,商業およびリテール銀行業務、投資サービスを提供する金融持株会社,NYSE
SNX,SYNNEX Corporationシネックス,情報技術（IT）サプライチェーン・サービス会社。OEMメーカーとソフトウエア出版社向けに世界中でサービスを提供。,NYSE
SO,Southernサザン,公益事業持株会社,NYSE
SON,Sonoco Products Companyソノコ プロダクツ,世界の企業・個人向けに梱包ソリューションを提供している梱包材メーカー。,NYSE
SONO,Sonosソノス,オーディオ機器メーカー。家庭用のオーディオ製品の製造。,NASDAQ
SPCE,Virgin Galactic Holdings Incヴァージン ギャラクティック ホールディングス,米国の航空宇宙会社。,NYSE
SPGI,S&P Globalエスアンドピー グローバル,格付けやベンチマーク、分析などの金融情報サービスプロバイダ,NYSE
SPLK,Splunkスプランク,データ解析ソフトウェアメーカー,NASDAQ
SPNS,Sapiens International Corp NVサピエンス インターナショナル,イスラエルに本社を置くケイマン籍のソフトウェアソリューションプロバイダー。,NASDAQ
SPOT,Spotifyスポティファイ,2006年にスウェーデン（ルクセンブルク籍）で創業した音楽配信世界最大手。音楽のストリーミング配信サービス、及び同サービスを運営している。,NYSE
SPR,Spirit AeroSystems Holdings Aスピリット エアロシステムズ ホールディング A,子会社を通じ、民間・軍用機の航空機構造の設計・製造を手掛ける,NYSE
SPWR,SunPowerサンパワー,太陽光発電製品会社,NASDAQ
SQ,Square Aスクエア A,モバイル決済ソリューションを提供している会社,NYSE
SR,Spire Incスパイア,天然ガスの小売流通に関わる公益事業法人。,NYSE
SRCL,Stericycleステリサイクル,規制対象医療廃棄物の処理サービス会社,NASDAQ
SRE,Sempra Energyセンプラ エナジー,エネルギー・サービス持株会社,NYSE
SRL,Scully Royalty Ltdスカリーロイヤリティ,統合されたマーチャントバンキング会社として運営されているケイマン籍の会社。,NYSE
SRPT,Sarepta Therapeuticsサレプタ セラピューティックス,奇病と伝染病両方の治療に用いる独自のRNA（リボ核酸）ベースの治療法発見と開発を手掛けるバイオ医薬品会社。,NASDAQ
SRRK,Scholar Rock Holdingスカラー ロック ホールディングス,生物医薬品企業として事業を行っている。神経筋障害、ガン、線維症、貧血を含む疾患の治療薬の発見および開発を手掛ける。,NASDAQ
SSNC,SS&C Technologies Holdings IncSS&Cテクノロジーズ ホールディングス,コンピューター・ソフトウエアを開発・販売するソフトウエア会社。,NASDAQ
SSTI,Shotspotter Incショットスポッター,セキュリティ製品とサービスを提供している会社。,NASDAQ
SSYS,Stratasysストラタシス,イスラエルの3Dプリンタメーカー,NASDAQ
STAA,Staar Surgical Coスターサージカル,眼内に移植可能なレンズを開発、製造、販売している米国の会社。,NASDAQ
STIM,Neuroneticsニューロネティクス,精神障害患者の生活の質を向上するための医療機器の開発・製造・販売に従事する医療機器メーカー。,NASDAQ
STL,Sterling Bancorpスターリング バンコープ,傘下の銀行を通じ、総合的な預金業務と資金管理サービスを手掛ける銀行持株会社。,NYSE
STLD,Steel Dynamicsスチール ダイナミクス,圧延鋼の小規模製鋼所と冷間圧延製鋼所を所有・運営する鉄鋼会社,NASDAQ
STMP,Stamps.comスタンプス ドット コム,オンライン切手販売会社。インターネ ットを介して、郵便料金を支払い、郵便料金ラベルを印刷するサービスを提供している。,NASDAQ
STNE,Stoneco Ltd Aストーン A,ブラジル(ケイマン籍)の電子商取引ソリューションプロバイダー。電子商取引を円滑に行うため、Wi-Fiとデータ対応端末機器を提供する。,NASDAQ
STRA,Strategic Education Incストラテジック エデュケーション,社会人向けに、経営、行政、会計、および情報技術分野の大学・大学院課程コースを提供する教育サービス会社。,NASDAQ
STRL,Sterling Construction Company Incスターリング コンストラクション,高速道路の舗装をはじめ、橋、上下水道、軽鉄道などの建設が専門。ペット用品、芝生・園芸用品の販売も手掛ける。,NASDAQ
STSA,Satsuma Pharmaceuticals Incサツマ ファーマシューティカルズ,偏頭痛向けの治療薬を開発している米国のバイオ医薬品会社。,NASDAQ
STT,State Streetステート ストリート,機関投資家への情報提供と金融資産管理を世界的に行う会社,NYSE
STX,Seagate Technologyシーゲイト テクノロジー,アイルランドのハードディスクドライブメーカー,NASDAQ
STZ,Constellation Brands Aコンステレーション ブランズ A,アルコール飲料会社,NYSE
SU,Suncor Energyサンコア エナジー,カナダの総合エネルギー企業,NYSE
SVMK,SVMKSVMK,米国のソフトウェア企業。,NASDAQ
SWAV,Shockwave Medical Incショックウェーブ メディカル,米国の医療機器メーカー。,NASDAQ
SWK,Stanley Black & Deckerスタンレー ブラック アンド デッカー,工具およびソリューションの総合供給会社,NYSE
SWKS,Skyworks Solutionsスカイワークス ソリューションズ,ワイヤレス半導体メーカー,NASDAQ
SWN,Southwestern Energyサウスウエスタン エナジー,独立系エネルギー会社。 米国での天然ガスや石油の探査、開発、生産 （E&P） に注力,NYSE
SWX,Southwest Gas Holdings Incサウスウェスト ガス ホールディングス,子会社を通じ、天然ガス事業の運営、建設のほか、販売も手掛ける持株会社。,NYSE
SXT,Sensient Technologiesセンシエント テクノロジーズ,インクジェット・プリンター用インク、化粧品・医療品用添加物、食品・飲料用フレーバーなどを製造している化学品メーカー,NYSE
SYF,Synchrony Financialシンクロニー ファイナンシャル,消費者金融サービス会社,NYSE
SYK,Strykerストライカー,手術用特殊医療製品を開発、製造、販売,NYSE
SYKE,Sykes Enterprises Incorporatedサイクス エンタープライゼズ,顧客管理用ソリューション・サービス会社。,NASDAQ
SYNA,Synapticsシナプティクス,カスタム設計のユーザー・インター フェース・ソリューションメーカー,NASDAQ
SYNC,Synacor Incシナコール,インターネット・ソリューション・プロバイダー。広告、コンテンツ、音楽、ウェブ検索などを提供。,NASDAQ
SYNH,Syneos Health Inc Aシネオス ヘルス A,米国のバイオ医薬品ソリューションの機関を運営。治療の専門知識、バイオ分析ソリューション、臨床開発、医療装置、診断サービスを 提供するほか、商業化も手掛ける。,NASDAQ
SYRS,Syros Pharmaceuticals Incサイロス ファーマシューティカルズ,バイオ医薬品会社。がんや免疫介在性疾患の治療薬の開発、遺伝子制御医薬品のパイプライン構築に従事。,NASDAQ
SYY,Syscoシスコ,食品と関連製品の供給会社,NYSE
T,AT&TAT&T,電話最大手。旧SBCコミュニケーションズ。AT&T Corp買収に伴い社名変更,NYSE
TA,TravelCenters of Americaトラベルセンターズ オブ アメリカ,主に米国の州間高速自動車道のサービスエリアにおける店舗・ガソリンスタンドのネットワークを運営。,NASDAQ
TACO,Del Taco Restaurants Incデル タコ レストランツ,米国で事業を展開しているレストランチェーンを所有・経営している企業。,NASDAQ
TAP,Molson Coors Brewing Bモルソン クアーズ ブリューイング B,ビール会社,NYSE
TBK,Triumph Bancorp Incトライアンフ バンコープ,米国の金融持株会社。,NASDAQ
TCBI,Texas Capital Bancsharesテキサス キャピタル バンクシェアーズ,銀行持株と金融持株会社。融資、預金口座などの金融商品やサービスを顧客に提供している。,NASDAQ
TCMD,Tactile Systems Technology Incタクタイル システムズ テクノロジー,米国ヘルスケア分野で事業を展開している医療機器メーカー。,NASDAQ
TCON,Tracon Pharmaceuticals Incトラコン ファーマシューティカルズ,がん、加齢黄斑変性、線維性疾患に対する新薬の開発・商品化に従事する臨床バイオ製薬会社。,NASDAQ
TD,Toronto-Dominion Bankトロント ドミニオン バンク,カナダの総合銀行,NYSE
TDC,Teradataテラデータ,データ保存ソリューション会社,NYSE
TDG,TransDigm Groupトランスダイム グループ,航空部品メーカー,NYSE
TDOC,Teladoc Healthテラドック ヘルス,携帯電話やオンラインビデオを通じた遠隔医療サービスを提供,NYSE
TDS,Telephone and Data Systemsテレフォン & データ システムズ,携帯電話、市内電話、個人向け通信サービスの分野で事業を展開,NYSE
TDW,Tidewaterタイドウォーター,海上でエネルギー採掘・生産業者へのサービスを提供,NYSE
TDY,Teledyne Technologiesテレダイン テクノロジーズ,米国の航空機エンジン製造会社。,NYSE
TEAM,Atlassianアトラシアン,エンタープライズ向けソフトウェア開発・販売会社,NASDAQ
TECD,Tech Data Corporationテック データ,ハイテク製品の卸売会社。,NASDAQ
TECH,Bio Techne Corpバイオテクネ,バイオ製品メーカー。,NASDAQ
TECK,Teck Resources Bテック リソーシズ B,カナダの総合天然資源グループ,NYSE
TEL,TE ConnectivityTE コネクティビティ,スイスに本社を置く世界最大級の電子部品サプライヤー,NYSE
TENB,Tenable Holdingsテナブル ホールディングス,ITサービス持株会社。子会社を通じて、サイバーセキュリティーのリスクを管理および測定するためのソリューションを提供。,NASDAQ
TER,Teradyneテラダイン,半導体テスト製品メーカー,NASDAQ
TERP,Terraform Power Inc Aテラフォーム パワー A,エネルギーサービス会社。,NASDAQ
TESS,TESSCO Technologies Incテスコ テクノロジーズ,ワイヤレス通信機器会社。無線通信業を対象に製品と付加価値サービスを提供。,NASDAQ
TEX,Terexテレックス,エネルギーおよび公益などの業界向けに機器を提供する多角的製造会社,NYSE
TFC,Truist Financialトラスト ファイナンシャル,銀行持株会社,NYSE
TFSL,TFS Financial CorporationTFSファイナンシャル,一般個人から預金を誘致し、各種ローンを提供する持株会社。米国オハイオ州およびフロリダ州全域で事業を展開。,NASDAQ
TFX,Teleflex Incorporatedテレフレックス,グローバルな医療技術製品の提供会社。,NYSE
TGE,Tallgrass Energy Lpトールグラス エナジー,輸送、貯蔵、ターミナルなどの総合ポートフォリオを取得、開発する中流エネルギー会社。,NYSE
TGEN,Tecogenテコジェン,住宅、商業、産業用の天然ガス、電力、空調システムなどの設計、製造および販売。,NASDAQ
TGLS,Tecnoglass Incテクノグラス,コロンビアに本社を置くケイマン籍のガラス製造持株会社。,NASDAQ
TGNA,TEGNAテグナ,国際ニュース・情報会社。テレビ局の運営の他、ウェブサイトにより情報を提供,NYSE
TGT,Targetターゲット,米国の総合ディスカウントストア,NYSE
TGTX,TG TherapeuticsTG セラピューティクス,臨床期向けバイオ医薬品会社,NASDAQ
THC,Tenet Healthcareテネット ヘルスケア,ヘルスケア施設の所有・運営に従事,NYSE
THG,Hanover Insurance Group Incハノバー インシュアランス グループ,持株会社。子会社を通じて、損害保険を提供する持株会社。,NYSE
THO,Thor Industriesソーア・インダストリーズ,1980年設立のレジャー用自動車メーカー。さまざまなレジャー用自動車の製造・販売に従事。モーターホーム、キャンピングカー、フ ィフスホイール、旅行用トレーラーを手掛ける。,NYSE
THOR,Synthorx Incシンテックス,バイオテクノロジー企業,NASDAQ
THRM,Genthermジェンサーム,自動車部品メーカー,NASDAQ
THS,TreeHouse Foodsトゥリーハウス フーズ,食品加工会社,NYSE
TIF,Tiffanyティファニー,貴金属アクセサリー,NYSE
TIVO,TiVoティーヴォ,メディアと娯楽製品を提供している,NASDAQ
TJX,The TJX CompaniesTJX カンパニーズ,衣料・ホームファッションのディス カウントストアー,NYSE
TKKS,TKK Symphony Acquisition CorpTKKシンフォニー アクイジション,ケイマン籍のブランクチェックカンパニー(白地小切手会社)。,NASDAQ
TKR,Timkenティムケン,特殊合金製品メーカー,NYSE
TLRY,ティルレイ2Tilray Inc 2,カナダの医薬品企業。主に医療用大麻の製造・販売に従事する。同社は大麻に含まれる化学物質カンナビノイドをベースとする医薬品を販売する。,NASDAQ
TMO,Thermo Fisher Scientificサーモ フィッシャー サイエンティフィク,測定機器メーカー,NYSE
TMUS,T Mobile USTモバイル US,ワイヤレス通信プロバイダー,NASDAQ
TNAV,Telenav Incテレナブ,全地球測位システム（GPS）ソフトウエアを製造するナビゲーション・ソフトウエア開発会社。,NASDAQ
TNDM,Tandem Diabetes Care Incタンデム ダイアベティス ケア,インスリン依存型糖尿病患者向け製品の設計、開発、商品化を手掛けている米国の医療機器メーカー。,NASDAQ
TNET,TriNet Group Incトライネット グループ,人事・コンサルティングサービス会社。,NYSE
TNP,Tsakos Energy Navigation Ltdツァコス エナジー ナビゲーション,ギリシャに本社を置くバミューダ籍の海運会社。,NYSE
TOL,Toll Brothersトール ブラザーズ,高級住宅建設会社,NYSE
TPC,Tutor Perini Corporationチューター ペリーニ,子会社とともに、米国および一部海外で民間顧客と公的機関向けにサービスを提供する建設会社。,NYSE
TPCO,Tribune Publishingトリビューン パブリッシング,全米のさまざまなスポーツ、娯楽、ビジネスなどに関するニュースおよび情報を提供している会社。,NASDAQ
TPIC,TPI Composites IncTPIコンポジッツ,風力タービンブレードメーカー。,NASDAQ
TPR,Tapestryタペストリー,高級皮革製品販売,NYSE
TPX,Tempur Sealy Internationalテンピュール シーリー インターナショナル,テンピュールブランドの寝具メーカー,NYSE
TREE,LendingTreeレンディングツリー,各種住宅不動産ローンのオリジネート、事務処理、承認、融資、決済サービスを手掛ける不動産・融資会社。,NASDAQ
TREX,Trex Company Incトレックス,非木製デッキ製品メーカー。デッキ、手すり、屋外照明、補助機器を提供。,NYSE
TRGP,Targa Resourcesタルガ リソーシズ,相補型中間エネルギーアセットのさまざまなポートフォリオを所有・運営・買収・開発している会社,NYSE
TRHC,Tabula Rasa Healthcareタブラ ラサ ヘルスケア,米国のヘルスケア・IT企業。,NASDAQ
TRI,Thomson Reutersトムソン ロイター,金融、科学、ヘルスケアなどの電子情報を提供,NYSE
TRIP,TripAdvisor Aトリップアドバイザー A,旅行情報・レビューサイトを運営,NASDAQ
TRMB,Trimbleトリンブル,GPS製品メーカー,NASDAQ
TRMK,Trustmarkトラストマーク,各種銀行業務と投資銀行・保険業務を法人、金融機関、個人向けに手掛けている持株会社。,NASDAQ
TRN,Trinity Industriesトリニティ インダストリーズ,輸送・建設・工業製品メーカー,NYSE
TROW,T. Rowe Price GroupT ロウ プライス グループ,金融サービス会社。子会社を通じて投資顧問、年金運用サービス等を幅広く提供する,NASDAQ
TRP,TC EnergyTCエナジー,カナダで天然ガスの輸送や電力供給を行う,NYSE
TRQ,Turquoise Hill Resourcesターコイズ ヒル リソーシズ,モンゴルやカザフスタンで活動するカナダの鉱山会社,NYSE
TRTN,Triton International Ltdトリトン インターナショナル,バミューダ籍の持株会社。複合一貫輸送用コンテナのほか、組立部品、生活必需品、電子機器などの総合貨物用乾燥貨物コンテナの取得、リースを手掛ける。,NYSE
TRU,TransUnionトランスユニオン,消費者リポート、リスクスコア、分析サービスおよび意思決定機能を企業に提供している信用調査会社。,NYSE
TRUP,Trupanionトゥルーパニオン,ペット用の健康保険会社。米国、カナダ、プエルトリコで主に犬猫用のペット医療保険を提供している。,NASDAQ
TRV,Travelers Companiesトラベラーズ カンパニーズ,米国最大手の保険会社。賠償責任保険、自動車保険、資産管理サービスを手がける,NYSE
TRXC,TransEnterixトランスエンテリックス,手術用ロボットシステムの商業化と開発に特化している医療機器メーカー。,NYSE American
TSC,Tristate Capital Holdings Incトライステート キャピタル ホールディングス,米国の銀行持株会社。,NASDAQ
TSCO,Tractor Supplyトラクター サプライ,農業用品販売店をチェーン展開,NASDAQ
TSLA,Teslaテスラ,シリコンバレーの電気自動車メーカー,NASDAQ
TSN,Tyson Foods Aタイソン フーズ A,肉食品メーカー,NYSE
TTC,Toroトロ,造園機具や注水システムなどの芝生用機器メーカー,NYSE
TTD,The Trade Desk Inc Aトレードデスク A,広告データ企業。広告代理店に広告目録などの管理を可能にするテクノロジーを提供している。,NASDAQ
TTEC,TTEC Holdings IncTTECホールディングス,会社を通じて、カスタマーエンゲージメント、エクスペリエンスコンサルティング、カスタマーケア、技術ソリューションを提供している持株会社。,NASDAQ
TTEK,Tetra Techテトラ テック,資源管理、インフラ、通信分野を専門にする経営コンサルタント会社。,NASDAQ
TTWO,Take Two Interactive Softwareテイクツー インタラクティブ ソフトウエア,ゲームソフトや周辺機器の開発・販売を手掛ける,NASDAQ
TUP,Tupperware Brandsタッパーウェア ブランズ,国際的な直販会社,NYSE
TW,Tradeweb Markets Inc Aトレードウェブマーケッツ A,取引プラットフォームを運営している会社。,NASDAQ
TWLO,Twilio Aトゥイリオ A,インターネットクラウド提供会社,NYSE
TWOU,2U2U,大学向けオンライン学位プログラム提供プラットフォーム会社,NASDAQ
TWTR,Twitterツイッター,ソーシャルネットワークサービス（SNS）運営大手,NYSE
TXG,10x Genomics In Aテンエックス ゲノミクス A,バイオテクノロジー会社。,NASDAQ
TXN,Texas Instrumentsテキサス インスツルメンツ,大手半導体メーカー,NASDAQ
TXRH,Texas Roadhouseテキサス ロードハウス,米国で事業を展開しているフルサービスのレストラン・チェーンを所有・運営。,NASDAQ
TXT,Textronテクストロン,国際的な多角経営会社,NYSE
TYL,Tyler Technologiesタイラー テクノロジーズ,自治体に情報管理ソフトと技術サービスを提供するソフトウェアサービス会社,NYSE
UAA,Under Armour Aアンダー アーマー A,スポーツ用のパフォーマンス・アパレルメーカー,NYSE
UAL,United Airlines Holdingsユナイテッド エアラインズ ホールディングス,大手航空持株会社,NASDAQ
UBER,Uber Technologies Incウーバー テクノロジーズ,世界各地で事業を展開している米国の配車サービス大手企業。,NYSE
UBSI,United Banksharesユナイテッド バンクシェアーズ,米国の各州およびワシントンD.C.に所在する支店を運営している銀行持株会社。,NASDAQ
UCTT,Ultra Clean Holdings Incウルトラ クリーン ホールディングス,半導体関連機器メーカー。半導体大型機器メーカーを対象に、主要サブシステムの開発・販売に従事。,NASDAQ
UFPI,Universal Forest Products Incユニバーサル フォレスト プロダクツ,ホームセンター、プレハブ住宅、工業、現場組み立て式建設業界向け製品の設計などに従事している木材メーカー。,NASDAQ
UFS,Domtarドムタール,カナダの上質紙メーカー,NYSE
UGI,UGIUGI,エネルギー製品の流通販売とサービスを提供,NYSE
UHAL,Amercoアメルコ,子会社通じて引越しと保管サービスを提供するリース持株会社,NASDAQ
UHS,Universal Health Services Bユニバーサル ヘルス サービシーズ B,救急病院や手術施設などの医療施設運営会社,NYSE
UI,Ubiquitiユビキティ,様々な無線通信機器やサービスを提供,NYSE
UIS,Unisys Corpユニシス,ITコンサルタントサービス会社。データ分析、モビリティ、ネットワーク、セキュリティ、アウトソーシングなどのサービスを提供する。,NYSE
ULBI,Ultralife Corporationウルトラライフ,個人･産業･軍事分野の多岐にわたる製品に使用されるリチウム電池メーカー。,NASDAQ
ULTA,Ulta Beautyアルタ ビューティ,化粧品小売チェーン,NASDAQ
UMPQ,Umpqua Holdingsアンプクア ホールディングズ,商業およびリテール銀行業と小売ブローカーサービスを提供する持株会社,NASDAQ
UNFI,United Natural Foodsユナイテッド ナチュラルフーズ,自然食品および関連品流通会社。,NYSE
UNH,UnitedHealth Groupユナイテッドヘルス グループ,ヘルスケア・管理医療サービス,NYSE
UNM,Unum Groupユーナム グループ,保険会社,NYSE
UNP,Union Pacificユニオン パシフィック,米国の大手鉄道会社,NYSE
UNVR,Univar Solutions Incユニバー ソリューションズ,工業・特殊化学品の販売に従事する化学品販売会社。,NYSE
UPLD,Upland Software Incアップランド ソフトウエア,クラウドベースの企業業務管理ソフトウエア会社。,NASDAQ
UPS,United Parcel Service Bユナイテッド パーセル サービス B,小荷物、航空貨物配送大手,NYSE
UPWK,Upwork Incアップワーク,米国のクラウドソーシング企業。顧客である企業と高度な技能を有するフリーランサーを引き合わせる、オンライン・マーケットプレイス「Upwork Enterprise」を提供している。,NASDAQ
URBN,Urban Outfittersアーバン アウトフィッターズ,若年女性向けのカジュアルウェアメーカー,NASDAQ
URI,United Rentalsユナイテッド レンタルズ,地域ネットワークを運営する設備レンタル会社,NYSE
UROV,Urovant Sciences Ltdウロバント サイエンシズ,英国(バミューダ籍)のバイオ医薬品開発企業。,NASDAQ
USB,US BancorpUS バンコープ,米国西部を中心とする総合金融企業,NYSE
USCR,US ConcreteUSコンクリート,コンクリート製品の販売会社。,NASDAQ
USFD,US Foods HoldingUS フーズ ホールディング,子会社を通じて、ケータリングサービスを提供している持株会社。,NYSE
USM,United States Cellular Corporationユナイテッド ステーツ セルラー,ワイヤレス通信サービス会社。さまざまな国内向けプランとともに、スマートフォン、タブレット、その他ワイヤレス機器を提供。,NYSE
USNA,USANA Health Sciences Incユサナ ヘルス サイエンス,栄養補助食品、パーソナルケアおよび体重管理製品の開発・製造・販売を手掛けている栄養補助食品メーカー。,NYSE
USX,US Xpress Enterprises AUSエクスプレス エンタープライズ A,米国で輸送サービスを提供している。同社は、長距離、中距離、契約運送および鉄道サービスの提供を手掛けている。,NYSE
UTHR,United Therapeuticsユナイテッド セラピューティックス,血管疾患用の治療薬開発を手掛ける製薬会社,NASDAQ
UTMD,Utah Medical Products Incユタ メディカル プロダクツ,幅広い特殊医療器具の開発、製造、組立、販売を手掛ける専門医療器具メーカー｡,NASDAQ
UTSI,UTStarcom HoldingsUTスターコム ホールディングス,中国籍のネットワーク用通信機器メーカー,NASDAQ
UTX,United Technologiesユナイテッド テクノロジーズ,航空機エンジン、エレベーター、空調機,NYSE
V,Visa Aビザ A,クレジットカード最大手,NYSE
VAC,Marriott Vacations Worldwideマリオット バケーションズ ワールドワイド,マリオットブランドのリゾートタイムシェア事業を手がける,NYSE
VAL,Valaris Aヴァラリス A,英国に本拠を置く海洋掘削会社,NYSE
VAPO,Vapotherm Incベーポサーム,米国の医療機器メーカー。,NYSE
VAR,Varian Medical Systemsバリアン メディカル システムズ,がん治療のシステム・メーカー,NYSE
VC,Visteon Corporationビステオン,自動車のシステム、モジュール、および部品を自動車メーカーおよびアフターサービス業界へ供給している自動車部品メーカー。,NASDAQ
VCEL,Vericel Corpヴェリセル,組織修復・再生用の自己幹細胞・神経前駆細胞製品の開発を手掛けるバイオテクノロジー会社。,NASDAQ
VCNX,Vaccinex Incバクシネックス,がん、神経変性疾患、自己免疫疾患等の重篤な疾患および状態を治療するための臨床段階の免疫療法を開発している。,NASDAQ
VCYT,Veracyte Incヴェラサイト,腫瘍の分子検査を開発する。,NASDAQ
VECO,Veeco Instrumentsビーコ インスツルメンツ,イネーブリング事業（MVNE）会社,NASDAQ
VEEV,Veeva Systems Class Aヴィーバ システムズ A,クラウドを基盤としたビジネスサービス会社,NYSE
VERI,Veritoneヴェライトン,人工知能を駆使したメディア技術会社として、プラットフォームを運営している会社,NASDAQ
VFC,VFVF,国際的なアパレル会社,NYSE
VGR,Vector Groupベクター グループ,子会社を通してタバコの製造・販売を手掛ける,NYSE
VHI,Valhiバルヒ,特殊化学品メーカー,NYSE
VIAC,ViacomCBS Inc BバイアコムＣＢＳ Ｂ,マルチメディア会社,NASDAQ
VIAV,Viavi Solutionsビアビソリューションズ,光セキュリティー・作動製品事業、ネットワーク・サービス事業大手,NASDAQ
VICR,Vicor Corporationバイコア,モジュラー式パワーコンポーネントおよび完全パワーシステムの設計、開発、製造、販売を手掛けている電子機器メーカー。,NASDAQ
VIE,Viela Bio Incビエラ バイオ,米国のバイオ医薬品メーカー。,NASDAQ
VIR,Vir Biotechnology Incヴィル バイオテクノロジー,米国のバイオテクノロジー企業。,NASDAQ
VIRT,Virtu Financial Aバーチュ ファイナンシャル A,超高速取引（HFT）の大手,NASDAQ
VLO,Valero Energyバレロ エナジー,独立系石油精製・販売会社,NYSE
VMC,Vulcan Materialsバルカン マテリアルズ,建築骨材メーカー,NYSE
VMW,VMware AVMウェア A,仮想化ソフトウェアの開発、製造、販売、並びに保守業務,NYSE
VNCE,Vince Holdingウ゛ィンス ホールディング,子会社を通じて、自社ブランドの紳士服 ・婦人服および娯楽製品を提供する持株会社。,NYSE
VNDA,Vanda Pharmaceuticals Incバンダ ファーマシューティカルズ,中枢神経障害用の小分子治療候補薬(臨床試験中)の開発、商業化を手掛けるバイオ医薬品メーカー。,NASDAQ
VOYA,Voya Financialボーヤ フィナンシャル,投資・保険会社,NYSE
VRAY,ViewRay Incビューレイ,がん治療用の放射線治療技術を開発。,NASDAQ
VRCA,Verrica Pharmaceuticalsヴェリカファーマシューティカルス,臨床段階の皮膚科医学会社,NASDAQ
VREX,Varex Imagingバレックス イメージング,医療用X線管および画像処理ソリューションを提供している会社,NASDAQ
VRNT,Verint Systems Incベリント システムズ,録音・解析ソリューション会社。製品は通信、傍受、デジタルビデオ保安、監視、ビジネス・インテリジェンスなどの分野で使用される。ソフトウエアは音声、ファクシミリ、ビデオ、Eメール、インターネット、多様な通信ネットワークからの送信データを収集、記憶、分析して具体的な対策につながる情報を作成するのが特徴。,NASDAQ
VRSK,Verisk Analyticsベリスク アナリティックス,不動産・損保のリスク引受けを行う,NASDAQ
VRSN,VeriSignベリサイン,ネットセキュリティー、電子認証サービス,NASDAQ
VRTS,Virtus Investment Partners Incバータス インベストメント パートナーズ,コンサルティング会社。財務顧問とコンサルティングを手掛ける。,NASDAQ
VRTV,Veritivベリティブ,顧客に物流とサプライチェーン管理ソリューションを提供している会社,NYSE
VRTX,Vertex Pharmaceuticalsバーテックス ファーマシューティカルズ,専門薬開発会社,NASDAQ
VSAT,ViaSatビアサット,ワイヤレス通信機器メーカー,NASDAQ
VSH,Vishay Intertechnologyビシェイ インターテクノロジー,コンデンサーなどの電子部品メーカー,NYSE
VST,Vistra Energy Corpビストラ エナジー,発電・配電・送電ソリューションを提供する電力会社。,NYSE
VVI,Viad Corpビアド,コンベンションおよびイベント広告サービス業および旅行・娯楽サービス業を対象とした製品およびサービスを提供している企画会社。,NYSE
VVUS,Vivusバイバス,バイオ医薬品メーカー,NASDAQ
VVV,Valvoline Incバルボリン,自動車潤滑剤と化学製品の製造・販売会社。モーターオイル、不凍液、ブレーキ液、油性製品を製造する。,NYSE
VZ,Verizon Communicatiuonsベライゾン コミュニケーションズ,世界規模で事業展開する総合電話通信会社,NYSE
W,Wayfair Aウェイフェア A,家庭用品販売会社。,NYSE
WAB,Wabtecワブテック,鉄道関連機器メーカー。,NYSE
