ティッカー,銘柄（英語）,事業内容,市場
AMPH,Amphastar Pharmaceuticals アンファスター ファーマシューティカルズ,ジェネリックおよび専売注射剤・吸入剤を開発、製造する製薬会社。,NASDAQ
AMRC,Ameresco Aアメレスコ A,総合電力エネルギー会社。,NYSE
AMRS,Amyris アミリス,世界の特殊化学および輸送燃料市場に石油を原料とする製品に代わる製品を提供する再生可能製品メーカー。,NASDAQ
AMRX,Amneal Pharmaceuticals Inc Aアムニール ファーマシューティカルズ A,米国の製薬会社。ジェネリック医薬品の開発、製造、販売、流通を中心に行うほか、中枢神経系障害の治療のため自社ブランド医薬品の開発を手掛ける。,NYSE
AMSC,American Superconductorアメリカン スーパーコンダクター,風力発電や送配電ソリューションを提供する米国の発電タービン・メーカー。,NASDAQ
AMSF,AMERISAFEアメリセーフ,石油・ガス、海運など危険を伴う業界の中小企業を中心に労災保険を提供する保険会社。,NASDAQ
AMSWA,American Software Aアメリカン ソフトウエア A,ソフトウエア・プロバイダー。,NASDAQ
AMTD,TD Ameritrade HoldingTD アメリトレード ホールディング,大手オンラインブローカー,NASDAQ
AMTX,Aemetisアメティス,燃料や化学製品の生産、従来の石油ベース製品に代わる技術の取得・開発・商業化を行うバイオテクノロジー会社。,NASDAQ
AMWD,American Woodmarkアメリカン ウッドマーク,住宅建築・改築市場向けに台所キャビネットと洗面化粧台を製造、販売する米国の台所・浴室キャビネット製造会社。,NASDAQ
AMZN,Amazon.comアマゾン ドット コム,小売業、インターネット通販会社,NASDAQ
AN,AutoNationオートネーション,自動車販売チェーン,NYSE
ANAB,AnaptysBioアナプティスバイオ,主に米国で臨床段階のバイオテクノロジー企業として営業を展開しています。癌免疫療法および炎症のための抗体を製造および販売しています。,NASDAQ
ANAT,American National Insuranceアメリカン ナショナル インシュランス,変額生命保険や、定額年金、変額年金、株価指数連動型年金などを取扱う保険会社。,NASDAQ
ANDA,Andina Acquisition Corp IIIアンディナ アクイジション コープ �V,ケイマン籍のブランクチェックカンパニー(白地小切手会社)。,NASDAQ
ANET,Arista Networksアリスタ ネットワークス,クラウド・ネットワーキング・ソリューションを提供する企業,NYSE
ANF,Abercrombie & Fitch Aアバークロンビー アンド フィッチ A,専門小売店,NYSE
ANGI,ANGI Homeservices Aアンジ ホームサービス A,インターネットによる情報・コンテンツ提供会社。有料評価サイト｢Angies List｣を運営する。,NASDAQ
ANGO,AngioDynamicsアンジオダイナミクス,末梢血管疾患の治療や手術に使用される医療機器の開発、製造、販売を行う米国の医療機器メーカー。,NASDAQ
ANIK,Anika Therapeuticsアニカ セラピューティクス,治療疼痛管理ソリューションの開発などをしている総合的な整形外科用医薬品メーカー。,NASDAQ
ANIP,Ani PharmaceuticalsANIファーマシューティカルズ,ブランド薬およびジェネリック処方薬の開発・生産・販売を手掛ける総合医薬品メーカー。,NASDAQ
ANSS,ANSYSアンシス,設計分析や最適化ソリューションのソフトウェアを提供,NASDAQ
ANTM,Anthemアンセム,ヘルス・ベネフィット給付会社,NYSE
AOBC,American Outdoor Brandsアメリカン アウトドア ブランズ,世界で事業を展開している銃器メーカー,NASDAQ
AON,AONエーオン,イギリスの保険サービス持株会社,NYSE
AOS,A.O.SmithA.O.スミス,米国の住宅・商業用温水機器と水質処理製品のメーカー,NYSE
AP,Ampco Pittsburghアンプコ ピッツバーグ,鉄鋼・アルミ金属製造業向けに硬化鋼ロールの鍛造と生成を行うポンプ製造会社。,NYSE
APA,Apacheアパッチ,独立系エネルギー会社,NYSE
APD,Air Products & Chemicalsエアープロダクツ アンド ケミカルズ,工業用ガスおよび関連処理装置メーカー,NYSE
APDN,Applied DNA SciencesアプライドDNAサイエンシズ,北米と欧州で、DNAタグを利用した偽造防止技術を供給するDNAセキュリティーソリューション会社。,NASDAQ
APEI,American Public Educationアメリカン パブリック エデュケーション,軍事、公共サービス、経営管理などについての高等教育をオンラインで提供する米国の教育サービス会社。,NASDAQ
APEN,Apollo Endosurgeryアポロ エンドーサージェリー,減量ソリューションの腹腔鏡下調整胃バンディング術を提供する。世界各地で製品を販売する医療機器の設計・製造会社。,NASDAQ
APH,Amphenol Aアンフェノール A,コネクターメーカー,NYSE
APLS,Apellis Pharmaceuticals Incアペリス ファーマシューティカルズ,臨床段階のバイオ医薬品会社。,NASDAQ
APOG,Apogee Enterprisesアポジー エンタープライジーズ,付加価値付きのガラス製品・サービスを提供する米国企業。,NASDAQ
APPF,Appfolio Aアップフォリオ A,クラウドベースの不動産管理ソフトウエアを提供するソフトウエア会社。,NASDAQ
APPN,Appiancorpアピアンコープ,アプリケーションの開発を可能とするサービスを提供するロー・コード・ソフトウェア開発プラットフォームを提供する会社,NASDAQ
APPS,Digital Turbineデジタル タービン,モバイルコンテンツソリューションを提供する米国の会社。,NASDAQ
APRN,Blue Apron Holdings Aブルーエプロン A,子会社を通じて、食事を作るためのレシピや食事キット配送サービスを提供している持株会社,NYSE
APTV,Aptiv PLCアプティブ,イギリスの自動車部品会社,NYSE
APY,Apergy Corpアパージー,石油・ガス関連サービス会社。,NYSE
AQUA,Evoqua Water Technologiesエヴォクア ウォーター テクノロジーズ,総合水処理エンジニアリング企業の大手。,NYSE
AR,Antero Resources Corporationアンテロ リソーシズ,原油と天然ガスの探鉱、開発、生産に従事している石油・ガス会社。,NYSE
ARAY,Accuray Incorporatedアキュレイ,放射線システムの開発、腫瘍治療ソリューション提供をする医療機器メーカー。,NASDAQ
ARCB,ArcBest Corpアークベスト,自動車輸送や複合一貫輸送業などに出資する多角的持株会社。,NASDAQ
ARCH,Arch Coal Inc Aアーチ コール A,低硫黄質軟炭の採掘・精製・販売会社。,NYSE
ARCO,Arcos Dorados Holdings Aアルコス ドラドス ホールディングス A,南米のマクドナルドフランチャイズを運営するアルゼンチンの会社,NYSE
ARCT,Arcturus Therapeutics Holdings Incアークトゥルス セラピューティクス ホールディングス,リボ核酸（RNA）医薬品会社。,NASDAQ
ARES,Ares Management Corp Aアレス マネジメント A,資産管理会社。,NYSE
ARGO,Argo Group International Holdings Ltdアルゴ グループ インターナショナル ホールディングス,子会社を通じて、損害保険および再保険商品を提供しているバミューダ籍の保険持ち株会社。,NYSE
ARKR,Ark Restaurants Corpアーク レストランツ,米国で事業を展開しているレストラン運営会社。,NASDAQ
ARLO,Arlo Technologiesアーロ テクノロジーズ,IT企業。セキュリティーカメラなど各種デバイスを接続するクラウドソリューションを提供する。,NYSE
ARMK,Aramarkアラマーク,食品・施設管理サービス会社。,NYSE
ARMP,Armata Pharmaceuticalsアーマタ ファーマシューティカルズ,疾患予防･治療薬の開発・商品化を手掛けるバイオテクノロジー企業。,NYSE American
ARNA,Arena Pharmaceuticalsアリーナ ファーマシューティカルズ,Gタンパク質共役型受容体を標的とした薬品の発見・開発・商品化に従事,NASDAQ
ARNC,Arconicアーコニック,航空機及び自動車用アルミ部品等の製造会社,NYSE
AROC,Archrock Incアーチロック,天然ガス圧縮の請負サービス会社。,NYSE
ARQL,ArQule Incアーキュール,がん治療薬を開発する医薬品メーカー。,NASDAQ
ARVN,Arvinas Incアルビナス,病気を引き起こすタンパク質を分解するための治療法の発見、開発、および商業化に従事している。,NASDAQ
ARW,Arrow Electronicsアロー エレクトロニクス,電子部品・コンピューター製品を販売,NYSE
ARWR,Arrowhead Pharmaceuticals Incアローヘッド ファーマシューティカルズ,遺伝子の抑制による難病治療向け医薬品を開発しているバイオテクノロジー会社。,NASDAQ
ASB,Associated Banc Corpアソシエーテッド バンコープ,米国中西部地域の銀行,NYSE
ASGN,ASGN IncorporatedASGN,人材派遣会社。,NYSE
ASH,Ashland Global Holdingsアシュランド グローバル ホールディングス,世界的な特殊化学品を取扱う子会社を傘下に持つ持株会社,NYSE
ASIX,Advansixアドバンシックス,主に「ナイロン6」樹脂製造プロセスの一部として製造された多様な他の製品を販売している会社。,NYSE
ASNA,Ascena Retail Groupアシナ リテール グループ,成人女性およびティーンエイジャー向けアパレル専門小売店チェーンを展開,NASDAQ
ASPS,Altisource Portfolio Solutionsアルティソース ポートフォリオ ソリューションズ,ルクセンブルグの不動産関連サービス会社,NASDAQ
ASRT,Assertio Therapeutics Incアサーティオ セラピューティクス,希少疾病用医薬品および治療用ソリューションを開発、販売している医薬品メーカー。,NASDAQ
ATEN,A10 NetworksA10ネットワークス,コンピューター・ネットワーク製品とセキュリティー・ソリューションの提供会社,NYSE
ATEX,Anterixアンテリックス,主に人事・労務・雇用管理にモバイル・ソリューションを提供している米国のネットワーク・ソフトウエア企業。,NASDAQ
ATHX,Athersysアサーシス,再生医療の分野を主とするバイオテクノロジー会社。,NASDAQ
ATI,Allegheny Technologiesアリゲニー テクノロジーズ,特殊金属メーカー,NYSE
ATKR,Atkore International Groupアトコア インターナショナル グループ,電線に関連する製品の製造。,NYSE
ATNX,Athenex Incアテネックス,がん治療向け新治療法の発見、開発、商業化に従事するバイオ医薬品会社。,NASDAQ
ATO,Atmos Energy Corporationアトモス エナジー,公益企業に天然ガスを供給している会社。,NYSE
